,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-04-09 15:00:00-03:00,7.9967346,5.5215435,142.89720584867013,3.1696083290904613,141.55149269874127,99.7,82.9,51.5,98.1
2022-04-09 18:00:00-03:00,6.221161,4.353946,29.08480422091225,0.0,29.08480422091225,100.0,100.0,95.3,100.0
2022-04-09 21:00:00-03:00,5.9670105,4.4506116,0.0,0.0,0.0,100.0,100.0,97.5,100.0
2022-04-10 00:00:00-03:00,6.649994,9.793447,0.0,0.0,0.0,100.0,100.0,100.0,15.3
2022-04-10 03:00:00-03:00,4.5085144,8.400518,0.0,0.0,0.0,88.4,87.5,67.4,8.5
2022-04-10 06:00:00-03:00,4.0362854,7.345548,0.0,0.0,0.0,77.4,74.7,0.0,10.3
2022-04-10 09:00:00-03:00,4.7677917,5.6040955,14.444826200552733,0.0,14.444826200552733,88.7,87.3,0.8,11.7
2022-04-10 12:00:00-03:00,5.672699,3.087527,134.84929007805303,2.921684086296078,133.6865519494768,98.5,93.0,24.3,62.8
2022-04-10 15:00:00-03:00,7.0257874,4.728959,144.44163449710794,5.428598094090829,142.16908465916316,98.1,93.4,26.3,69.5
2022-04-10 18:00:00-03:00,5.8686523,1.8422314,26.968592385434608,0.0,26.968592385434608,100.0,57.2,70.4,75.7
2022-04-10 21:00:00-03:00,4.6265564,3.2037678,0.0,0.0,0.0,100.0,78.5,85.2,87.9
2022-04-11 00:00:00-03:00,4.2499695,2.9592047,0.0,0.0,0.0,100.0,100.0,100.0,100.0
