,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-04-03 01:00:00+10:00,25.915771,6.616167,0.0,0.0,0.0,9.3,0.0,0.0,9.3
2022-04-03 04:00:00+10:00,25.837708,7.3063498,0.0,0.0,0.0,5.1,0.0,0.0,5.1
2022-04-03 07:00:00+10:00,25.782135,7.0453606,206.37567802586813,587.0582642764514,55.071741628623045,1.6,0.0,0.0,1.6
2022-04-03 10:00:00+10:00,26.028595,6.702227,792.2381402963733,840.0026132535781,142.29806842201754,2.5,0.0,0.0,2.3
2022-04-03 13:00:00+10:00,26.149994,6.875352,832.4008485662915,818.230235301852,166.5893494285475,3.6,0.0,0.0,3.3
2022-04-03 16:00:00+10:00,25.937714,7.2901278,295.4822486277248,606.2653152739309,80.79029883107671,10.4,0.0,0.0,10.3
2022-04-03 19:00:00+10:00,25.951447,8.269365,0.0,0.0,0.0,45.0,0.0,0.0,44.9
2022-04-03 22:00:00+10:00,25.920166,7.903576,0.0,0.0,0.0,33.0,0.0,0.0,32.9
2022-04-04 01:00:00+10:00,25.850006,6.9783125,0.0,0.0,0.0,3.3,0.0,0.0,3.3
2022-04-04 04:00:00+10:00,25.713684,5.6532445,0.0,0.0,0.0,1.8,0.0,0.0,1.8
2022-04-04 07:00:00+10:00,25.815735,5.7141805,162.29218678990364,291.83338712738714,87.63670548661689,33.0,30.6,0.0,29.5
2022-04-04 10:00:00+10:00,25.708801,6.2302985,604.3694463189272,328.14306840114267,351.40108619877054,37.9,35.7,0.0,16.7
2022-04-04 13:00:00+10:00,25.86496,7.5907555,755.2700247386526,592.9827612429792,274.9585470329145,16.8,14.1,2.7,1.3
2022-04-04 16:00:00+10:00,25.75,7.665404,295.3424743436916,629.3057131876722,75.0642372319274,8.4,7.1,1.4,0.6
2022-04-04 19:00:00+10:00,25.781464,8.033193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 22:00:00+10:00,25.812897,7.5383,0.0,0.0,0.0,12.2,12.1,0.0,0.0
2022-04-05 01:00:00+10:00,25.88144,6.6536875,0.0,0.0,0.0,100.0,100.0,2.5,0.0
2022-04-05 04:00:00+10:00,25.915741,6.415945,0.0,0.0,0.0,100.0,100.0,2.6,2.1
2022-04-05 07:00:00+10:00,25.850006,8.072285,71.63376575592669,0.0,71.63376575592669,100.0,100.0,0.0,2.9
2022-04-05 10:00:00+10:00,25.915741,9.075123,466.32122513240915,122.35768032481015,372.34373234273494,64.0,63.6,0.0,1.5
2022-04-05 13:00:00+10:00,26.015717,9.830786,748.514540555703,587.7778935466656,274.6219952250482,17.3,15.3,0.0,1.9
2022-04-05 16:00:00+10:00,25.811584,9.886655,281.4916148185096,569.6041907988184,84.43523513991897,13.2,10.6,0.0,2.7
2022-04-05 19:00:00+10:00,25.811188,11.188687,0.0,0.0,0.0,21.8,19.8,0.0,2.6
2022-04-05 22:00:00+10:00,25.852844,11.404757,0.0,0.0,0.0,54.6,53.4,0.0,1.3
2022-04-06 01:00:00+10:00,25.784271,10.005506,0.0,0.0,0.0,68.0,68.0,0.0,0.0
2022-04-06 04:00:00+10:00,25.781464,10.535453,0.0,0.0,0.0,55.5,55.2,0.0,0.0
2022-04-06 07:00:00+10:00,25.818573,10.813463,145.7948794932872,212.63460468634747,92.22110520179382,43.2,42.7,0.0,0.0
2022-04-06 10:00:00+10:00,25.75,12.06347,652.4114196123785,468.56023528098643,293.8798363348777,27.6,27.2,0.0,0.0
2022-04-06 13:00:00+10:00,25.752838,12.055777,477.33508481446404,108.75742700128555,390.05950889301835,66.3,65.9,0.0,0.0
2022-04-06 16:00:00+10:00,25.752838,12.827024,170.10858699561874,95.2351766596474,137.54933235215236,67.6,67.1,0.0,0.0
2022-04-06 19:00:00+10:00,25.78711,14.288463,0.0,0.0,0.0,57.9,56.3,1.6,0.0
2022-04-06 22:00:00+10:00,25.752838,14.790373,0.0,0.0,0.0,56.3,44.3,21.5,0.0
2022-04-07 01:00:00+10:00,25.758514,13.629664,0.0,0.0,0.0,47.1,46.2,0.3,0.0
2022-04-07 04:00:00+10:00,25.720123,12.658424,0.0,0.0,0.0,38.8,36.8,1.3,0.4
2022-04-07 07:00:00+10:00,25.75,12.764331,70.26628631349213,0.0,70.26628631349213,100.0,100.0,0.6,1.7
2022-04-07 10:00:00+10:00,25.787354,13.323968,277.0476839188839,16.626525021878752,264.3737055992274,100.0,100.0,0.3,0.8
2022-04-07 13:00:00+10:00,25.821838,12.707395,333.21747325056924,27.039204305328212,311.6212811100088,92.4,92.1,0.0,0.0
2022-04-07 16:00:00+10:00,25.827301,12.808574,178.10942360428191,124.57110881487581,136.026259119721,62.2,61.8,0.0,0.0
2022-04-07 19:00:00+10:00,25.803864,13.024773,0.0,0.0,0.0,92.7,92.5,0.0,0.0
2022-04-07 22:00:00+10:00,25.753876,12.239759,0.0,0.0,0.0,82.3,82.1,0.0,0.0
2022-04-08 01:00:00+10:00,25.727295,11.445256,0.0,0.0,0.0,10.1,9.8,0.0,0.0
2022-04-08 04:00:00+10:00,25.674438,10.852053,0.0,0.0,0.0,6.5,6.3,0.0,0.0
2022-04-08 07:00:00+10:00,25.76593,11.724946,189.49233867181087,523.0068500428588,59.760469827639554,7.2,7.1,0.0,0.0
2022-04-08 10:00:00+10:00,25.749176,11.512185,738.8899971651177,726.1803925801033,187.46558907625,9.6,9.4,0.0,0.0
2022-04-08 13:00:00+10:00,25.757477,11.246048,820.044886622093,851.9423763943653,142.83049249003773,1.8,1.8,0.0,0.0
2022-04-08 16:00:00+10:00,25.75,12.702191,247.0833637032355,435.0341613450193,101.87731135126938,24.8,24.7,0.0,0.0
2022-04-08 19:00:00+10:00,25.74228,13.444615,0.0,0.0,0.0,4.7,4.6,0.0,0.0
2022-04-08 22:00:00+10:00,25.696136,12.856759,0.0,0.0,0.0,3.4,3.4,0.0,0.0
2022-04-09 01:00:00+10:00,25.746796,11.895708,0.0,0.0,0.0,3.0,3.0,0.0,0.0
2022-04-09 04:00:00+10:00,25.74997,11.7849045,0.0,0.0,0.0,8.0,7.8,0.0,0.0
2022-04-09 07:00:00+10:00,25.75531,12.1347685,182.23908092060674,480.71067223602637,63.94378611974618,11.4,11.1,0.0,0.0
